subjectID,beta,striping
DEV001,43,yes
DEV005,7,yes
DEV005,16,yes
DEV008,78,yes
DEV010,14,yes
DEV010,15,yes
DEV012,36,yes
DEV013,30,yes
DEV013,70,yes
DEV018,66,yes
DEV023,3,yes
DEV023,43,yes
DEV025,36,not estimable
DEV025,37,not estimable
DEV028,25,yes
DEV028,51,yes
DEV028,52,yes
DEV028,53,yes
DEV028,71,yes
DEV028,76,yes
DEV028,79,yes
DEV029,74,yes
DEV030,2,yes
DEV030,12,yes
DEV030,13,yes
DEV030,14,yes
DEV033,26,yes
DEV033,31,yes
DEV035,70,yes
DEV037,10,yes
DEV037,13,yes
DEV037,49,yes
DEV037,54,yes
DEV037,55,yes
DEV037,58,yes
DEV037,66,yes
DEV037,73,yes
DEV037,76,yes
DEV037,77,yes
DEV037,78,yes
DEV038,52,yes
DEV040,13,yes
DEV040,14,yes
DEV040,15,yes
DEV040,16,yes
DEV040,37,yes
DEV040,74,yes
DEV042,36,yes
DEV046,44,yes
DEV046,66,yes
DEV046,79,yes
DEV048,26,yes
DEV053,5,yes
DEV054,23,yes
DEV054,55,yes
DEV054,64,yes
DEV054,67,yes
DEV054,70,yes
DEV054,74,yes
DEV054,75,yes
DEV056,4,yes
DEV056,7,yes
DEV058,1,yes
DEV059,47,yes
DEV059,50,yes
DEV059,51,yes
DEV059,53,yes
DEV059,54,yes
DEV059,55,yes
DEV059,56,yes
DEV059,57,yes
DEV060,57,yes
DEV069,33,yes
DEV069,34,yes
DEV069,37,yes
DEV069,55,yes
DEV069,58,not estimable
DEV069,66,yes
DEV070,8,yes
DEV070,9,yes
DEV070,29,yes
DEV070,35,yes
DEV070,56,yes
DEV070,68,yes
DEV080,5,yes
DEV082,7,yes
DEV082,13,yes
DEV089,10,yes
DEV089,67,yes
