"subjectID","run","Trial","condition","stimulus","Onset","Dur","RT","Response"
"CHIVES1001","1",1,"regulate","crave",8.0854,1.8663,1.779,3
"CHIVES1001","1",2,"look","neutral",20.0188,2.0916,2.086,3
"CHIVES1001","1",3,"look","crave",32.3354,1.5968,1.593,3
"CHIVES1001","1",4,"look","crave",44.2688,0.6552,0.651,3
"CHIVES1001","1",5,"look","neutral",56.2021,1.3377,1.334,2
"CHIVES1001","1",6,"look","no crave",68.7685,1.0116,1.008,1
"CHIVES1001","1",7,"look","crave",81.0854,1.3027,1.299,5
"CHIVES1001","1",8,"regulate","crave",93.1521,1.0438,1.04,3
"CHIVES1001","1",9,"look","no crave",105.2021,1.0021,0.998,1
"CHIVES1001","1",10,"look","no crave",117.2688,0.5995,0.596,3
"CHIVES1001","1",11,"regulate","crave",129.0685,0.4159,0.412,4
"CHIVES1001","1",12,"regulate","crave",141.0021,1.3221,1.318,3
"CHIVES1001","1",13,"look","crave",152.9353,0.8854,0.881,5
"CHIVES1001","1",14,"look","neutral",164.8687,0.2154,0.212,3
"CHIVES1001","1",15,"look","neutral",177.2021,1.2899,1.286,1
"CHIVES1001","1",16,"look","crave",189.002,0.4659,0.462,3
"CHIVES1001","1",17,"look","no crave",200.9354,0.9243,0.921,1
"CHIVES1001","1",18,"look","neutral",212.7353,0.709,0.705,5
"CHIVES1001","1",19,"regulate","crave",224.6687,0.7112,0.707,2
"CHIVES1001","1",20,"look","crave",236.6025,0.5059,0.502,2
"CHIVES1001","1",21,"look","no crave",248.5352,1.1332,1.13,1
"CHIVES1001","1",22,"look","neutral",261.1019,0.5425,0.539,3
"CHIVES1001","1",23,"look","no crave",273.0359,1.2401,1.236,1
"CHIVES1001","1",24,"look","crave",284.8358,0.6326,0.629,5
"CHIVES1001","1",25,"regulate","crave",297.1519,1.2922,1.288,4
"CHIVES1001","1",26,"look","neutral",310.2194,0.5692,0.565,3
"CHIVES1001","1",27,"look","crave",322.1521,0.6206,0.617,3
"CHIVES1001","1",28,"look","no crave",333.9525,1.036,1.032,1
"CHIVES1001","1",29,"look","neutral",345.8851,0.815,0.811,1
"CHIVES1001","1",30,"regulate","crave",357.8194,1.6724,1.669,2
"CHIVES1001","1",31,"look","no crave",369.8684,1.3516,1.348,1
"CHIVES1001","1",32,"look","no crave",381.8025,0.7294,0.726,3
"CHIVES1001","1",33,"regulate","crave",393.8519,0.4407,0.437,3
"CHIVES1001","1",34,"regulate","crave",405.9026,0.5815,0.578,4
"CHIVES1001","1",35,"look","crave",417.8353,0.8573,0.853,5
"CHIVES1001","1",36,"look","crave",429.636,0.5438,0.54,2
