subjectID,beta,striping
DEV007,3,yes
DEV007,4,yes
DEV007,18,yes
DEV007,19,yes
DEV007,43,yes
DEV007,58,yes
DEV007,85,yes
DEV007,91,yes
DEV007,98,yes
DEV009,34,yes
DEV012,56,yes
DEV012,57,yes
DEV013,10,yes
DEV013,20,yes
DEV013,42,yes
DEV014,74,yes
DEV014,90,yes
DEV015,55,yes
DEV018,9,yes
DEV018,43,yes
DEV018,47,yes
DEV018,100,yes
DEV018,101,yes
DEV022,46,yes
DEV022,66,yes
DEV023,67,yes
DEV027,42,yes
DEV028,45,yes
DEV033,28,yes
DEV033,47,yes
DEV036,20,yes
DEV041,72,yes
DEV042,35,yes
DEV042,65,yes
DEV043,41,yes
DEV056,42,yes
DEV062,66,yes
DEV067,8,yes
DEV067,9,yes
DEV067,10,yes
DEV067,28,yes
DEV067,29,yes
DEV067,33,yes
DEV069,29,yes
DEV069,39,yes
DEV069,45,yes
DEV069,66,yes
DEV069,90,yes
DEV070,10,yes
DEV070,33,yes
DEV070,40,yes
DEV070,62,yes
DEV070,93,yes
DEV073,62,yes
DEV074,10,yes
DEV084,42,yes
DEV085,58,yes
DEV085,71,yes
DEV087,13,yes
DEV087,17,yes
DEV089,9,yes
